# OpenSignals Text File Format. Version 1
# {"98:D3:51:FD:71:01": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:51:FD:71:01", "device connection": "BTH98:D3:51:FD:71:01", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-4-19", "time": "10:50:32.12", "channels": [2], "sensor": ["RAW"], "label": ["A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
14	0	0	0	0	507	
15	0	0	0	0	506	
0	0	0	0	0	506	
1	0	0	0	0	507	
2	0	0	0	0	506	
3	0	0	0	0	506	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	507	
7	0	0	0	0	507	
8	0	0	0	0	508	
9	0	0	0	0	507	
10	0	0	0	0	506	
11	0	0	0	0	506	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	506	
0	0	0	0	0	507	
1	0	0	0	0	507	
2	0	0	0	0	507	
3	0	0	0	0	506	
4	0	0	0	0	506	
5	0	0	0	0	508	
6	0	0	0	0	506	
7	0	0	0	0	507	
8	0	0	0	0	507	
9	0	0	0	0	504	
10	0	0	0	0	506	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	503	
4	0	0	0	0	505	
5	0	0	0	0	504	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	504	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	506	
15	0	0	0	0	505	
0	0	0	0	0	506	
1	0	0	0	0	506	
2	0	0	0	0	504	
3	0	0	0	0	506	
4	0	0	0	0	505	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	505	
8	0	0	0	0	506	
9	0	0	0	0	505	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	506	
14	0	0	0	0	505	
15	0	0	0	0	506	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	506	
3	0	0	0	0	505	
4	0	0	0	0	506	
5	0	0	0	0	506	
6	0	0	0	0	505	
7	0	0	0	0	507	
8	0	0	0	0	506	
9	0	0	0	0	505	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	507	
13	0	0	0	0	506	
14	0	0	0	0	506	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	506	
2	0	0	0	0	505	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	503	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	503	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	503	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	503	
5	0	0	0	0	504	
6	0	0	0	0	503	
7	0	0	0	0	503	
8	0	0	0	0	504	
9	0	0	0	0	503	
10	0	0	0	0	503	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	503	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	503	
3	0	0	0	0	503	
4	0	0	0	0	505	
5	0	0	0	0	503	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	506	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	503	
8	0	0	0	0	504	
9	0	0	0	0	503	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	505	
3	0	0	0	0	505	
4	0	0	0	0	505	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	506	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	505	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	506	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	506	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	507	
6	0	0	0	0	506	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	506	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	506	
14	0	0	0	0	504	
15	0	0	0	0	506	
0	0	0	0	0	505	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	505	
4	0	0	0	0	506	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	505	
0	0	0	0	0	506	
1	0	0	0	0	505	
2	0	0	0	0	506	
3	0	0	0	0	507	
4	0	0	0	0	507	
5	0	0	0	0	505	
6	0	0	0	0	506	
7	0	0	0	0	505	
8	0	0	0	0	506	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	503	
13	0	0	0	0	505	
14	0	0	0	0	503	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	506	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	505	
6	0	0	0	0	504	
7	0	0	0	0	505	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	505	
5	0	0	0	0	504	
6	0	0	0	0	505	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	506	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	505	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	503	
4	0	0	0	0	505	
5	0	0	0	0	503	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	503	
9	0	0	0	0	506	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	505	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	506	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	503	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	503	
7	0	0	0	0	504	
8	0	0	0	0	503	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	503	
12	0	0	0	0	505	
13	0	0	0	0	503	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	503	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	503	
6	0	0	0	0	504	
7	0	0	0	0	503	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	503	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	503	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	503	
5	0	0	0	0	505	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	506	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	506	
5	0	0	0	0	506	
6	0	0	0	0	506	
7	0	0	0	0	506	
8	0	0	0	0	504	
9	0	0	0	0	507	
10	0	0	0	0	506	
11	0	0	0	0	506	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	506	
15	0	0	0	0	505	
0	0	0	0	0	505	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	506	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	505	
6	0	0	0	0	504	
7	0	0	0	0	506	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	503	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	505	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	505	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	505	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	506	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	507	
0	0	0	0	0	506	
1	0	0	0	0	506	
2	0	0	0	0	507	
3	0	0	0	0	505	
4	0	0	0	0	507	
5	0	0	0	0	505	
6	0	0	0	0	506	
7	0	0	0	0	505	
8	0	0	0	0	506	
9	0	0	0	0	507	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	505	
15	0	0	0	0	505	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	507	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	507	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	506	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	506	
14	0	0	0	0	505	
15	0	0	0	0	505	
0	0	0	0	0	506	
1	0	0	0	0	505	
2	0	0	0	0	506	
3	0	0	0	0	505	
4	0	0	0	0	505	
5	0	0	0	0	506	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	503	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	506	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	503	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	503	
8	0	0	0	0	504	
9	0	0	0	0	503	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	503	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	505	
5	0	0	0	0	504	
6	0	0	0	0	505	
7	0	0	0	0	506	
8	0	0	0	0	505	
9	0	0	0	0	507	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	505	
0	0	0	0	0	506	
1	0	0	0	0	505	
2	0	0	0	0	505	
3	0	0	0	0	507	
4	0	0	0	0	506	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	507	
9	0	0	0	0	506	
10	0	0	0	0	506	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	506	
14	0	0	0	0	505	
15	0	0	0	0	506	
0	0	0	0	0	506	
1	0	0	0	0	504	
2	0	0	0	0	506	
3	0	0	0	0	506	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	506	
10	0	0	0	0	505	
11	0	0	0	0	506	
12	0	0	0	0	507	
13	0	0	0	0	507	
14	0	0	0	0	506	
15	0	0	0	0	508	
0	0	0	0	0	507	
1	0	0	0	0	508	
2	0	0	0	0	507	
3	0	0	0	0	507	
4	0	0	0	0	507	
5	0	0	0	0	506	
6	0	0	0	0	506	
7	0	0	0	0	506	
8	0	0	0	0	507	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	503	
5	0	0	0	0	505	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	504	
10	0	0	0	0	506	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	503	
4	0	0	0	0	504	
5	0	0	0	0	503	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	503	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	503	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	502	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	503	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	505	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	503	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	503	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	503	
4	0	0	0	0	504	
5	0	0	0	0	502	
6	0	0	0	0	504	
7	0	0	0	0	503	
8	0	0	0	0	503	
9	0	0	0	0	504	
10	0	0	0	0	503	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	505	
1	0	0	0	0	503	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	503	
5	0	0	0	0	504	
6	0	0	0	0	503	
7	0	0	0	0	503	
8	0	0	0	0	504	
9	0	0	0	0	502	
10	0	0	0	0	504	
11	0	0	0	0	503	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	503	
15	0	0	0	0	504	
0	0	0	0	0	503	
1	0	0	0	0	503	
2	0	0	0	0	504	
3	0	0	0	0	502	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	503	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	503	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	505	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	505	
3	0	0	0	0	505	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	506	
8	0	0	0	0	506	
9	0	0	0	0	506	
10	0	0	0	0	507	
11	0	0	0	0	506	
12	0	0	0	0	507	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	507	
0	0	0	0	0	505	
1	0	0	0	0	506	
2	0	0	0	0	505	
3	0	0	0	0	506	
4	0	0	0	0	506	
5	0	0	0	0	505	
6	0	0	0	0	506	
7	0	0	0	0	506	
8	0	0	0	0	506	
9	0	0	0	0	505	
10	0	0	0	0	505	
11	0	0	0	0	506	
12	0	0	0	0	505	
13	0	0	0	0	506	
14	0	0	0	0	505	
15	0	0	0	0	505	
0	0	0	0	0	507	
1	0	0	0	0	505	
2	0	0	0	0	505	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	505	
0	0	0	0	0	505	
1	0	0	0	0	505	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	507	
15	0	0	0	0	505	
0	0	0	0	0	507	
1	0	0	0	0	506	
2	0	0	0	0	506	
3	0	0	0	0	507	
4	0	0	0	0	506	
5	0	0	0	0	506	
6	0	0	0	0	506	
7	0	0	0	0	505	
8	0	0	0	0	507	
9	0	0	0	0	506	
10	0	0	0	0	505	
11	0	0	0	0	506	
12	0	0	0	0	506	
13	0	0	0	0	507	
14	0	0	0	0	505	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	503	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	506	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	505	
2	0	0	0	0	505	
3	0	0	0	0	504	
4	0	0	0	0	505	
5	0	0	0	0	503	
6	0	0	0	0	505	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	507	
12	0	0	0	0	506	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	506	
1	0	0	0	0	505	
2	0	0	0	0	505	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	505	
6	0	0	0	0	505	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	506	
11	0	0	0	0	505	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	506	
0	0	0	0	0	505	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	505	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	505	
8	0	0	0	0	504	
9	0	0	0	0	505	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	503	
9	0	0	0	0	503	
10	0	0	0	0	503	
11	0	0	0	0	502	
12	0	0	0	0	503	
13	0	0	0	0	503	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	503	
1	0	0	0	0	505	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	504	
6	0	0	0	0	506	
7	0	0	0	0	505	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	504	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	504	
0	0	0	0	0	506	
1	0	0	0	0	504	
2	0	0	0	0	505	
3	0	0	0	0	505	
4	0	0	0	0	505	
5	0	0	0	0	506	
6	0	0	0	0	505	
7	0	0	0	0	505	
8	0	0	0	0	504	
9	0	0	0	0	503	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	506	
5	0	0	0	0	504	
6	0	0	0	0	505	
7	0	0	0	0	504	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	505	
15	0	0	0	0	505	
0	0	0	0	0	506	
1	0	0	0	0	505	
2	0	0	0	0	505	
3	0	0	0	0	506	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	506	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	504	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	504	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	504	
5	0	0	0	0	503	
6	0	0	0	0	503	
7	0	0	0	0	505	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	505	
4	0	0	0	0	504	
5	0	0	0	0	503	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	503	
9	0	0	0	0	503	
10	0	0	0	0	503	
11	0	0	0	0	504	
12	0	0	0	0	503	
13	0	0	0	0	503	
14	0	0	0	0	503	
15	0	0	0	0	502	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	504	
4	0	0	0	0	503	
5	0	0	0	0	505	
6	0	0	0	0	504	
7	0	0	0	0	504	
8	0	0	0	0	504	
9	0	0	0	0	504	
10	0	0	0	0	505	
11	0	0	0	0	504	
12	0	0	0	0	505	
13	0	0	0	0	505	
14	0	0	0	0	506	
15	0	0	0	0	507	
0	0	0	0	0	505	
1	0	0	0	0	505	
2	0	0	0	0	506	
3	0	0	0	0	505	
4	0	0	0	0	506	
5	0	0	0	0	506	
6	0	0	0	0	506	
7	0	0	0	0	506	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	505	
11	0	0	0	0	506	
12	0	0	0	0	505	
13	0	0	0	0	504	
14	0	0	0	0	506	
15	0	0	0	0	505	
0	0	0	0	0	504	
1	0	0	0	0	504	
2	0	0	0	0	504	
3	0	0	0	0	506	
4	0	0	0	0	505	
5	0	0	0	0	505	
6	0	0	0	0	506	
7	0	0	0	0	505	
8	0	0	0	0	506	
9	0	0	0	0	505	
10	0	0	0	0	505	
11	0	0	0	0	505	
12	0	0	0	0	504	
13	0	0	0	0	505	
14	0	0	0	0	504	
15	0	0	0	0	505	
0	0	0	0	0	505	
1	0	0	0	0	504	
2	0	0	0	0	506	
3	0	0	0	0	505	
4	0	0	0	0	505	
5	0	0	0	0	506	
6	0	0	0	0	505	
7	0	0	0	0	506	
8	0	0	0	0	505	
9	0	0	0	0	505	
10	0	0	0	0	507	
11	0	0	0	0	505	
12	0	0	0	0	506	
13	0	0	0	0	505	
14	0	0	0	0	505	
15	0	0	0	0	506	
0	0	0	0	0	504	
1	0	0	0	0	507	
2	0	0	0	0	505	
3	0	0	0	0	506	
4	0	0	0	0	507	
5	0	0	0	0	505	
6	0	0	0	0	507	
7	0	0	0	0	505	
8	0	0	0	0	505	
9	0	0	0	0	506	
10	0	0	0	0	505	
11	0	0	0	0	507	
